 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-09_14:16:01      9.9e+37             26.109              26.1924             26.1706             
 2018-08-09_14:16:12      9.9e+37             26.1225             26.2038             26.1834             
 2018-08-09_14:16:23      9.9e+37             26.1347             26.2158             26.196              
 2018-08-09_14:16:33      9.9e+37             26.1418             26.2283             26.2066             
 2018-08-09_14:16:44      9.9e+37             26.1535             26.2401             26.2161             
 2018-08-09_14:16:55      9.9e+37             26.1642             26.2456             26.2254             
 2018-08-09_14:17:05      9.9e+37             26.1747             26.2569             26.2346             
 2018-08-09_14:17:16      9.9e+37             26.1835             26.2693             26.2437             
 2018-08-09_14:17:26      9.9e+37             26.1931             26.2751             26.2544             
 2018-08-09_14:17:37      9.9e+37             26.2007             26.284              26.2607             
 2018-08-09_14:17:48      9.9e+37             26.2066             26.2959             26.2699             
 2018-08-09_14:17:58      9.9e+37             26.2138             26.3003             26.2779             
 2018-08-09_14:18:09      9.9e+37             26.2249             26.3105             26.2869             
 2018-08-09_14:18:20      9.9e+37             26.2332             26.3184             26.2943             
 2018-08-09_14:18:30      9.9e+37             26.2405             26.3274             26.3022             
 2018-08-09_14:18:41      9.9e+37             26.2487             26.3354             26.3086             
 2018-08-09_14:18:52      9.9e+37             26.2549             26.3415             26.3164             
 2018-08-09_14:19:02      9.9e+37             26.2623             26.3508             26.322              
 2018-08-09_14:19:13      9.9e+37             26.2704             26.359              26.3312             
 2018-08-09_14:19:24      9.9e+37             26.2762             26.3635             26.3397             
 2018-08-09_14:19:34      9.9e+37             26.2851             26.3709             26.3457             
 2018-08-09_14:19:45      9.9e+37             26.2903             26.3761             26.3521             
 2018-08-09_14:19:56      9.9e+37             26.2959             26.3843             26.3597             
 2018-08-09_14:20:06      9.9e+37             26.3053             26.3909             26.3646             
 2018-08-09_14:20:17      9.9e+37             26.3116             26.3989             26.3726             
 2018-08-09_14:20:28      9.9e+37             26.3154             26.4049             26.3786             
 2018-08-09_14:20:38      9.9e+37             26.3238             26.4101             26.3841             
 2018-08-09_14:20:49      9.9e+37             26.3277             26.4164             26.3917             
 2018-08-09_14:21:00      9.9e+37             26.3359             26.4236             26.3971             
 2018-08-09_14:21:10      9.9e+37             26.3423             26.4283             26.4051             
 2018-08-09_14:21:21      9.9e+37             26.3481             26.4336             26.4097             
 2018-08-09_14:21:32      9.9e+37             26.3545             26.4422             26.4172             
 2018-08-09_14:21:42      9.9e+37             26.3602             26.4483             26.4215             
 2018-08-09_14:21:53      9.9e+37             26.3649             26.4515             26.4282             
 2018-08-09_14:22:04      9.9e+37             26.3697             26.4607             26.434              
 2018-08-09_14:22:14      9.9e+37             26.3785             26.4629             26.4379             
 2018-08-09_14:22:25      9.9e+37             26.3807             26.4702             26.4437             
 2018-08-09_14:22:36      9.9e+37             26.3879             26.4735             26.4503             
 2018-08-09_14:22:46      9.9e+37             26.3933             26.4804             26.4533             
 2018-08-09_14:22:57      9.9e+37             26.4003             26.4869             26.4626             
 2018-08-09_14:23:07      9.9e+37             26.4038             26.4913             26.4688             
 2018-08-09_14:23:18      9.9e+37             26.4109             26.4937             26.4716             
 2018-08-09_14:23:29      9.9e+37             26.416              26.5021             26.4763             
 2018-08-09_14:23:39      9.9e+37             26.4202             26.5077             26.4824             
 2018-08-09_14:23:50      9.9e+37             26.425              26.5131             26.4864             
 2018-08-09_14:24:01      9.9e+37             26.4299             26.5177             26.4929             
 2018-08-09_14:24:11      9.9e+37             26.4367             26.5231             26.4976             
 2018-08-09_14:24:22      9.9e+37             26.4393             26.5258             26.5013             
 2018-08-09_14:24:33      9.9e+37             26.4439             26.5317             26.507              
 2018-08-09_14:24:43      9.9e+37             26.4498             26.5364             26.5121             
 2018-08-09_14:24:54      9.9e+37             26.4561             26.5406             26.5175             
 2018-08-09_14:25:05      9.9e+37             26.46               26.547              26.5226             
 2018-08-09_14:25:15      9.9e+37             26.4697             26.5521             26.5298             
 2018-08-09_14:25:26      9.9e+37             26.4711             26.5585             26.5341             
 2018-08-09_14:25:37      9.9e+37             26.4765             26.563              26.5382             
 2018-08-09_14:25:47      9.9e+37             26.4814             26.565              26.5437             
 2018-08-09_14:25:58      9.9e+37             26.4841             26.5731             26.5481             
 2018-08-09_14:26:09      9.9e+37             26.4895             26.5729             26.5494             
 2018-08-09_14:26:19      9.9e+37             26.4914             26.5777             26.5542             
 2018-08-09_14:26:30      9.9e+37             26.4955             26.5838             26.5585             
 2018-08-09_14:26:41      9.9e+37             26.4994             26.588              26.5616             
